name,name,galg,galg-lo,galg-hi,taylor,taylor-lo,taylor-hi
10_035,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_036,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_037,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_038,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_039,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_040,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_041,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_042,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_043,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_044,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_045,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_046,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
10_047,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_048,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_049,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
10_050,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_051,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_052,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_053,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_054,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_055,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_056,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
